AERONET_Database_Site_List,Num=0,Date_Generated=29:04:2023,Months_Available_for_Year,2021
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Alta_Floresta,-56.104453,-9.871339,277.000000,1,1,1,1,0,0,0,0,0,0,0,0
Tucson,-110.953003,32.233002,779.000000,1,0,1,1,1,1,1,1,1,1,1,1
GSFC,-76.839833,38.992500,87.000000,1,1,1,1,1,1,1,1,1,1,1,1
Wallops,-75.471950,37.932850,37.000000,1,1,0,1,1,1,0,1,1,1,1,1
Ussuriysk,132.163500,43.700400,280.000000,1,1,1,1,1,1,1,1,0,0,0,0
Waskesiu,-106.069578,53.914386,569.000000,0,0,0,0,0,1,1,1,1,1,1,1
Key_Biscayne,-80.163330,25.731966,10.000000,0,0,0,0,1,0,0,0,0,1,0,0
Sevilleta,-106.885002,34.354721,1477.000000,1,1,1,1,1,1,1,1,1,1,1,1
Bonanza_Creek,-148.316269,64.742805,353.000000,0,0,0,0,0,0,1,1,1,1,0,0
Mauna_Loa,-155.576755,19.536006,3402.000000,1,1,1,1,1,1,1,1,1,1,1,1
La_Crau,4.819000,43.576500,32.000000,0,0,0,0,0,0,0,0,1,0,0,0
Lille,3.141667,50.611667,60.000000,1,1,1,1,1,1,1,1,1,1,1,1
Missoula,-114.083336,46.916668,976.000000,1,1,1,1,1,1,1,1,1,1,1,1
Capo_Verde,-22.935499,16.732500,60.000000,1,1,1,1,1,1,1,1,1,1,1,1
UCSB,-119.845360,34.415428,33.000000,1,1,1,1,1,0,1,1,1,1,1,1
SERC,-76.555795,38.888901,36.500000,1,1,1,1,1,1,1,1,1,1,1,1
La_Jolla,-117.251130,32.868460,80.000000,1,1,1,1,1,0,1,1,1,1,1,1
Barcelona,2.112060,41.389250,125.000000,1,1,1,1,1,1,1,1,1,1,1,1
SEDE_BOKER,34.782222,30.855000,480.000000,1,1,1,1,1,1,1,1,1,1,1,1
Madison,-89.410000,43.070000,326.000000,0,0,0,0,0,0,0,0,0,1,0,0
CARTEL,-71.931330,45.379754,251.000000,1,1,1,1,1,1,1,1,1,1,1,1
Toronto,-79.470000,43.790000,186.000000,1,1,1,1,1,1,1,1,1,1,1,1
Banizoumbou,2.665190,13.546930,274.000000,1,1,1,1,1,1,1,1,1,1,1,1
Barrow,-156.665000,71.312200,8.000000,0,1,1,1,1,1,1,1,1,1,0,0
REUNION_ST_DENIS,55.484740,-20.901390,93.000000,1,1,1,1,1,1,1,1,1,1,1,1
Rame_Head,-4.219809,50.317132,105.000000,1,1,1,1,1,1,1,1,1,1,1,1
CRETE,25.667833,35.337667,140.000000,0,1,1,0,1,1,0,1,0,0,0,0
Guadeloup,-61.528378,16.224920,39.000000,1,0,0,0,0,0,0,0,0,0,0,0
BONDVILLE,-88.371944,40.053333,212.000000,1,1,1,1,1,1,1,1,1,1,1,1
Dalanzadgad,104.419167,43.577222,1470.000000,1,1,1,1,1,1,1,1,1,1,1,1
Venise,12.508300,45.313900,10.000000,1,1,1,1,1,1,1,1,1,1,1,1
Izana,-16.499060,28.309320,2401.000000,1,1,1,1,1,1,1,1,1,1,1,1
Teide,-16.639000,28.270000,3555.000000,1,1,1,1,1,1,1,1,1,1,1,1
Sioux_Falls,-96.625991,43.736481,505.000000,1,1,1,1,1,1,1,1,1,1,1,1
Walker_Branch,-84.287500,35.958333,365.000000,0,0,0,0,0,0,0,0,0,1,0,0
Egbert,-79.781414,44.231543,264.000000,1,1,1,1,1,1,1,1,1,1,1,1
Ispra,8.626700,45.803050,235.000000,1,1,1,1,1,1,1,1,1,1,1,1
Mainz,8.300000,49.999000,150.000000,1,1,1,1,1,1,1,1,1,1,1,1
Brookhaven,-72.884700,40.866000,37.000000,1,1,1,1,1,1,1,1,1,1,1,1
Saturn_Island,-123.128177,48.775252,193.000000,1,1,1,1,1,1,1,1,1,1,1,1
Ilorin,4.674500,8.484100,400.000000,1,1,1,1,1,1,1,1,1,1,1,1
