Coastal_aerosol	RSR_coastal_aerosol	Blue	RSR_blue	Green	RSR_green	Red	RSR_red	NIR	RSR_NIR	SWIR-I	RSR_SWIR-I
427	0.000073	436	0.00001	512	-0.000046	625	-0.000342	829	-0.000034	1515	-0.000016
428	0.000609	437	0.000061	513	0.000016	626	0.00027	830	0.000011	1516	0.000067
429	0.001628	438	0.000117	514	0.00011	627	0.000895	831	0.00005	1517	0.000151
430	0.003421	439	0.000241	515	0.000247	628	0.00185	832	0.0001	1518	0.000249
431	0.008019	440	0.000349	516	0.000362	629	0.003648	833	0.000239	1519	0.000348
432	0.024767	441	0.000455	517	0.000648	630	0.007197	834	0.000314	1520	0.000466
433	0.085688	442	0.000756	518	0.000935	631	0.014515	835	0.000495	1521	0.000585
434	0.254149	443	0.001197	519	0.001332	632	0.030432	836	0.000719	1522	0.000758
435	0.517821	444	0.00207	520	0.001816	633	0.066861	837	0.000986	1523	0.000932
436	0.765117	445	0.003712	521	0.002515	634	0.148518	838	0.001445	1524	0.00115
437	0.908749	446	0.006869	522	0.003446	635	0.299778	839	0.002107	1525	0.001369
438	0.958204	447	0.013212	523	0.00488	636	0.526812	840	0.00316	1526	0.001613
439	0.977393	448	0.02717	524	0.007024	637	0.764443	841	0.004744	1527	0.001859
440	0.98379	449	0.058606	525	0.010441	638	0.905473	842	0.007059	1528	0.002172
441	0.989052	450	0.130876	526	0.016247	639	0.947949	843	0.0109	1529	0.002488
442	0.986713	451	0.27137	527	0.025513	640	0.950823	844	0.017346	1530	0.002881
443	0.993683	452	0.493542	528	0.041451	641	0.947418	845	0.028332	1531	0.003277
444	0.993137	453	0.723971	529	0.070551	642	0.951831	846	0.048191	1532	0.003772
445	1	454	0.85751	530	0.123444	643	0.962705	847	0.084363	1533	0.004271
446	0.996969	455	0.894222	531	0.21168	644	0.975075	848	0.145365	1534	0.004898
447	0.98278	456	0.903034	532	0.353885	645	0.984173	849	0.249733	1535	0.005528
448	0.972692	457	0.910928	533	0.545856	646	0.983613	850	0.403526	1536	0.006421
449	0.905808	458	0.90988	534	0.741205	647	0.983434	851	0.582623	1537	0.007319
450	0.745606	459	0.899475	535	0.865225	648	0.982911	852	0.745037	1538	0.008459
451	0.471329	460	0.897977	536	0.927396	649	0.973636	853	0.890315	1539	0.009606
452	0.226412	461	0.889667	537	0.954627	650	0.959441	854	0.960215	1540	0.010989
453	0.09286	462	0.883542	538	0.954163	651	0.955641	855	0.986833	1541	0.012372
454	0.036603	463	0.877453	539	0.959215	652	0.955548	856	0.973133	1542	0.014303
455	0.014537	464	0.881011	540	0.961328	653	0.953337	857	0.980606	1543	0.016248
456	0.005829	465	0.874721	541	0.964902	654	0.956628	858	0.99612	1544	0.019029
457	0.002414	466	0.879688	542	0.969873	655	0.981688	859	1	1545	0.021831
