B1,rsr_B1,B2,rsr_B2,B3,rsr_B3,B4,rsr_B4,B5,rsr_B5,B6,rsr_B6,B7,rsr_B7,B8,rsr_B8,B8A,rsr_B8A,B9,rsr_B9,B10,rsr_B10,B11,rsr_B11,B12,rsr_B12
412,0.001775742,456,0.04255531,538,0.01448181,646,0.00141521,695,0.02835786,731,0.00171088,769,0.00045899,760,0.00067259,837,0.00030097,932,0.01662953,1337,0.00024052,1539,0.00000679,2078,0.00063835
413,0.004073061,457,0.0722983,539,0.03422251,647,0.02590238,696,0.12369337,732,0.05467153,770,0.0117201,761,0.00388856,838,,933,0.06111857,1338,0.00005404,1540,0.00000666,2079,0.00102286
414,0.003626143,458,0.15374322,540,0.07346335,648,0.11651178,697,0.39378774,733,0.25806676,771,0.05219715,769,,839,,934,0.17407094,1339,0.00003052,1541,0.000008,2080,0.00288712
415,0.003515199,459,0.32799225,541,0.15444843,649,0.39088616,698,0.76113071,734,0.64722098,772,0.16561733,770,,840,,935,0.38946454,1340,0.00002872,1542,0.00002734,2081,0.00399879
416,0.005729163,460,0.55336788,542,0.31661425,650,0.74959342,699,0.97108502,735,0.89218999,773,0.36903355,771,,841,,936,0.6645915,1341,0.00007632,1543,0.00003685,2082,0.00658916
417,0.003780292,461,0.71011166,543,0.55322279,651,0.94485805,700,0.99889523,736,0.90232877,774,0.63685453,772,,842,,937,0.87454114,1342,0.00010949,1544,0.00008851,2083,0.00765458
418,0.002636732,462,0.75285179,544,0.74859406,652,0.98011173,701,1,737,0.91508768,775,0.86119638,773,0.00028956,843,,938,0.93695988,1343,0.00008804,1545,0.00014522,2084,0.00799918
419,0.001262113,463,0.75232691,545,0.84890306,653,0.99406309,702,0.99412258,738,0.94115846,776,0.97002897,774,0.00702964,844,,939,0.96751014,1344,0.00012356,1546,0.00024812,2085,0.00853524
420,0.001987583,464,0.75668081,546,0.89772216,654,1,703,0.98321789,739,0.96299993,777,0.99119602,775,0.01752391,845,,940,0.9893391,1345,0.00017424,1547,0.00047627,2086,0.00929493
421,0.001368913,465,0.76326948,547,0.9215368,655,0.99545475,704,0.96704093,740,0.97510481,778,0.99897921,776,0.03231111,846,,941,0.9951269,1346,0.0003317,1548,0.00056335,2087,0.00999614
422,0.001250444,466,0.76239425,548,0.92572845,656,0.99052772,705,0.94847389,741,0.9770217,779,1,777,0.05328661,847,0.00157217,942,1,1347,0.00036891,1549,0.00065326,2088,0.01096645
423,0.000463454,467,0.7852515,549,0.91122688,657,0.97733476,706,0.92714833,742,0.98736251,780,0.97725155,778,0.08299885,848,0.00249886,943,0.97845762,1348,0.0004467,1550,0.00089835,2089,0.01208363
424,0.000814293,468,0.81546669,550,0.88818924,658,0.94055988,707,0.90372458,743,1,781,0.92572385,779,0.12748502,849,0.01332037,944,0.98069118,1349,0.00065919,1551,0.00114664,2090,0.01335837
425,0.001376431,469,0.86179176,551,0.86523756,659,0.87894956,708,0.88614713,744,0.98880277,782,0.86605804,780,0.19591065,850,0.02614866,945,0.9922335,1350,0.0010913,1552,0.00165604,2091,0.01501119
426,0.001485086,470,0.89282599,552,0.84718187,660,0.81629384,709,0.86723745,745,0.97179916,783,0.81969611,781,0.30246323,851,0.05260479,946,0.98798379,1351,0.00196903,1553,0.00241611,2092,0.01711931
427,0.001823735,471,0.9195221,553,0.8387572,661,0.77345952,710,0.79075319,746,0.90126739,784,0.79407674,782,0.43553954,852,0.10779709,947,0.99428313,1352,0.00373668,1554,0.00350246,2093,0.01977307
428,0.001626817,472,0.91900649,554,0.84459081,662,0.75448766,711,0.58840332,747,0.60672391,785,0.79111029,783,0.57141637,853,0.22160755,948,0.98348041,1353,0.00801754,1555,0.00524274,2094,0.02332743
429,0.004392062,473,0.91315754,555,0.86219653,663,0.75991531,712,0.26334833,748,0.20520227,786,0.80431552,784,0.69766701,854,0.39721628,949,0.97820013,1354,0.01884719,1556,0.0081538,2095,0.02765779
430,0.029008099,474,0.90035366,556,0.88838714,664,0.7826343,713,0.05675422,749,0.0267569,787,0.81902721,785,0.80303852,855,0.60986885,950,0.95023367,1355,0.04466732,1557,0.01237062,2096,0.03320435
431,0.118745933,475,0.88989693,557,0.92443236,665,0.8101689,714,0.00618833,,,788,0.82571292,786,0.89115744,856,0.81658883,951,0.95299604,1356,0.10165546,1558,0.0186097,2097,0.04020464
432,0.323875058,476,0.8823246,558,0.96017974,666,0.83612975,,,,,789,0.82011829,787,0.95284584,857,0.9322445,952,0.92240308,1357,0.20111776,1559,0.02721853,2098,0.04886709
433,0.572819207,477,0.87606118,559,0.98685516,667,0.86125424,,,,,790,0.79222195,788,0.98894161,858,0.97210033,953,0.85573828,1358,0.34284841,1560,0.03879155,2099,0.0596238
434,0.714727494,478,0.88429987,560,1,668,0.88609106,,,,,791,0.72054559,789,1,859,0.97545482,954,0.70970227,1359,0.50710992,1561,0.05379167,2100,0.07315348
435,0.761967778,479,0.90695544,561,0.9986008,669,0.91138767,,,,,792,0.58767794,790,0.98840653,860,0.97538048,955,0.46429542,1360,0.6632068,1562,0.07353187,2101,0.09050885
436,0.789297016,480,0.93232085,562,0.98076472,670,0.93405146,,,,,793,0.41430355,791,0.96389216,861,0.97328205,956,0.21538427,1361,0.78377143,1563,0.09932758,2102,0.11143964
437,0.808623866,481,0.93947252,563,0.94522089,671,0.95042063,,,,,794,0.23088817,792,0.94207967,862,0.97607828,957,0.06534121,1362,0.86153862,1564,0.1334178,2103,0.13686671
438,0.810893815,482,0.94383543,564,0.8981778,672,0.9592573,,,,,795,0.09850282,793,0.93694643,863,0.98034955,958,0.01625596,1363,0.91000261,1565,0.18029249,2104,0.16776886
439,0.824198756,483,0.92204086,565,0.85580323,673,0.96039555,,,,,796,0.02736551,794,0.94227343,864,0.98690928,,,1364,0.94193255,1566,0.24484994,2105,0.20341457
440,0.854158107,484,0.8860231,566,0.81841734,674,0.95913395,,,,,797,0.00516235,795,0.95395718,865,0.99087465,,,1365,0.96182259,1567,0.32834511,2106,0.24281992
441,0.870790877,485,0.84743609,567,0.78862048,675,0.95809013,,,,,,,796,0.96828896,866,0.99741818,,,1366,0.97365119,1568,0.42749961,2107,0.28484195
442,0.887310969,486,0.81251687,568,0.76460653,676,0.95527459,,,,,,,797,0.97966549,867,0.99984673,,,1367,0.98169786,1569,0.53576798,2108,0.32711894
443,0.926199242,487,0.7823971,569,0.74963745,677,0.94376465,,,,,,,798,0.9854444,868,0.99939141,,,1368,0.98795826,1570,0.64570396,2109,0.36834301
444,0.982281495,488,0.7731087,570,0.75055111,678,0.89490799,,,,,,,799,0.98592681,869,0.99587928,,,1369,0.99283342,1571,0.74245998,2110,0.40794043
445,1,489,0.77209054,571,0.76137888,679,0.74426308,,,,,,,800,0.98391181,870,0.99541228,,,1370,0.99649788,1572,0.81447017,2111,0.4447145
446,0.975238202,490,0.78742652,572,0.78244479,680,0.476777,,,,,,,801,0.97793903,871,1,,,1371,0.99906011,1573,0.85866596,2112,0.47647207
447,0.93596338,491,0.81217177,573,0.79890086,681,0.22960399,,,,,,,802,0.97722771,872,0.99640762,,,1372,1,1574,0.87924777,2113,0.50303896
448,0.889971481,492,0.84605052,574,0.81016957,682,0.08009118,,,,,,,803,0.97810609,873,0.92359433,,,1373,0.99907734,1575,0.88665266,2114,0.52524762
