B1,rsr_B1,B2,rsr_B2,B3,rsr_B3,B4,rsr_B4,B5,rsr_B5,B6,rsr_B6,B7,rsr_B7,B8,rsr_B8,B8A,rsr_B8A,B9,rsr_B9,B10,rsr_B10,B11,rsr_B11,B12,rsr_B12
411,0.0062411,456,0.05529541,536,0.00188039,646,0.00499358,694,0.01042619,730,0.01739744,766,0.0103729,774,0.00037316,848,0.00167523,930,0.0121336,1339,0.00002472,1538,0.00001154,2065,0.00022389
412,0.01024045,457,0.12005068,537,0.01545903,647,0.02642563,695,0.05713826,731,0.10565746,767,0.03754921,775,0.00296451,849,0.01602231,931,0.04608767,1340,0.00013691,1539,0.00002707,2066,0.00073676
413,0.00402983,458,0.25199051,538,0.03660414,648,0.11905127,696,0.21461286,732,0.38571484,768,0.11240409,776,0.01663315,850,0.03225867,932,0.15156613,1341,0.00012558,1540,0.00008129,2067,0.00164703
414,0.00642179,459,0.4623617,539,0.08100583,649,0.333204,697,0.54715702,733,0.78168196,769,0.25890105,777,0.02818619,851,0.07345268,933,0.35888361,1342,0.00008901,1541,0.0001701,2068,0.00301151
415,0.00552753,460,0.65162379,540,0.16917887,650,0.59813448,698,0.87088164,734,0.90518378,770,0.48035521,778,0.05000442,852,0.1689243,934,0.60704101,1343,0.00012425,1542,0.00027422,2069,0.00458328
416,0.0065525,461,0.77642171,541,0.33278274,651,0.80612041,699,0.96808183,735,0.91562509,771,0.73155954,779,0.08575595,853,0.34543042,935,0.83836043,1344,0.00009941,1543,0.00034456,2070,0.00592584
417,0.00409887,462,0.82319091,542,0.58622794,652,0.91152955,700,0.99104427,736,0.92258804,772,0.91293607,780,0.14871265,854,0.56923369,936,0.93474094,1345,0.00013952,1544,0.00046028,2071,0.00752876
418,0.006297,463,0.83083116,543,0.80916412,653,0.92179127,701,1,737,0.93134141,773,0.97124929,781,0.25701156,855,0.79611745,937,0.94270146,1346,0.00015816,1545,0.00065214,2072,0.00874103
419,0.00436742,464,0.83382106,544,0.913051,654,0.91677167,702,0.99512875,738,0.9469604,774,0.96391197,782,0.42307501,856,0.93749188,938,0.95838078,1347,0.00019272,1546,0.00082283,2073,0.01025764
420,0.00233356,465,0.837526,545,0.94472284,655,0.90751672,703,0.98751456,739,0.96535098,775,0.95529249,783,0.62943997,857,0.98102805,939,0.99064712,1348,0.00025959,1547,0.00107791,2074,0.01222618
421,0.00058162,466,0.86304286,546,0.94898813,656,0.89867522,704,0.97910038,740,0.97817455,776,0.964831,784,0.80112571,858,0.98742384,940,0.99789825,1349,0.00032221,1548,0.0014306,2075,0.01458055
422,0.00202276,467,0.88226141,547,0.94369132,657,0.89413622,705,0.97035979,741,0.99107716,777,0.98628988,785,0.90352196,859,0.99457226,941,1,1350,0.00034719,1549,0.00196134,2076,0.01744267
